debit_memo,product,ndc,manufacturer,ask_price,received_price,Percentage Returned,Full/partial,Ask Date,Receive Date,Method,Confidence,Pharmacy Name,Status
DEL0918AKB65862,Valsartan,65862-0571-90,Aurobindo Pharma Limited,21.99,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKB67405,Hydroxyzine Hydrochloride,67405-0671-10,HARRIS Pharmaceutical; Inc.,30.02,,,Full,09/10/2018,,,,Quality Home Infusion Pharmacy,UNMATCHED
DEL0918AKA00085,NOXAFIL,00085-4324-02,Merck Sharp & Dohme Corp.,3800.68,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA00085,NOXAFIL,00085-4324-02,Merck Sharp & Dohme Corp.,3800.68,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA00143,Amoxicillin and Clavulanat,00143-9853-75,West-ward Pharmaceutical Corp,13.54,,,Full,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA00173,AVODART,00173-0712-15,GlaxoSmithKline LLC,186.7,,,Full,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA00185,bisoprolol fumarate,00185-0771-30,Eon Labs; Inc.,12.01,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA00310,Tudorza Pressair,00310-0800-39,AstraZeneca Pharmaceuticals LP,150.55,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA00310,Tudorza Pressair,00310-0800-60,AstraZeneca Pharmaceuticals LP,321.49,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA00310,SEROQUEL,00310-0280-60,AstraZeneca Pharmaceuticals LP,492.72,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA00430,Lo Loestrin Fe,00430-0420-14,Warner Chilcott (US); LLC,623.6,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA00591,Atenolol and Chlorthalidon,00591-5782-01,Watson Laboratories; Inc.,34.11,,,Full,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA00591,Verapamil Hydrochloride,00591-2886-01,Watson Laboratories; Inc.,395.51,,,Partial,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA00591,Atenolol and Chlorthalidon,00591-5782-01,Watson Laboratories; Inc.,34.11,,,Partial,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA00591,clarithromycin,00591-2805-60,Watson Laboratories; Inc.,214.03,,,Partial,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA16252,Rosuvastatin Calcium,16252-0616-30,Actavis Pharma; Inc.,13.49,,,Full,09/07/2018,,,,RX Masters,UNMATCHED
DEL0918AKA16571,ciprofloxacin,16571-0411-10,Rising Pharmaceuticals; Inc.,30.4,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA16571,ciprofloxacin,16571-0411-10,Rising Pharmaceuticals; Inc.,30.4,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA16729,Hydrochlorothiazide,16729-0184-17,Accord Healthcare Inc.,31.59,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA42192,Sodium Sulfacetamide,42192-0136-12,Acella Pharmaceuticals; LLC,111.72,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA61314,Neomycin and Polymyxin,61314-0645-11,Falcon Pharmaceuticals; Ltd.,45.95,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA68180,Cefadroxil,68180-0180-01,Lupin Pharmaceuticals; Inc.,50.35,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA68180,Sertraline,68180-0351-06,Lupin Pharmaceuticals; Inc.,9.5,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA68180,Sertraline,68180-0351-06,Lupin Pharmaceuticals; Inc.,9.5,,,Partial,09/07/2018,,,,,UNMATCHED
DEL0918AKA68180,Cefadroxil,68180-0180-01,Lupin Pharmaceuticals; Inc.,50.35,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKA68180,Levonorgestrel and Ethinyl,68180-0848-13,Lupin Pharmaceuticals; Inc.,204.1,,,Full,09/07/2018,,,,,UNMATCHED
DEL0918AKF24208,Ipratropium bromide,24208-0398-30,Bausch & Lomb Incorporated,34.68,,,Full,09/07/2018,,,,TFL Pharmacy Inc. (Tu Farmacia Latina),UNMATCHED
DEL0918AKF43386,Misoprostol,43386-0161-06,GAVIS Pharmaceuticals; LLC,45.23,,,Partial,09/07/2018,,,,TFL Pharmacy Inc. (Tu Farmacia Latina),UNMATCHED
DEL0918AKF64980,TIMOLOL MALEATE,64980-0513-15,Rising Pharmaceuticals; Inc.,7.32,,,Full,09/07/2018,,,,TFL Pharmacy Inc. (Tu Farmacia Latina),UNMATCHED
DEL0918AKE00002,Humalog,00002-7511-01,Eli Lilly and Company,276.31,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00002,Humalog,00002-7511-01,Eli Lilly and Company,276.31,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00006,RECOMBIVAX HB,00006-4995-00,Merck Sharp & Dohme Corp.,57.58,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00054,Dexamethasone,00054-4184-25,Roxane Laboratories; Inc,82.62,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00078,Diovan,00078-0358-34,Novartis Pharmaceuticals Corporation,647.18,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00093,Amoxicillin and Clavulanat,00093-8675-74,Teva Pharmaceuticals USA Inc,68.77,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00093,Azithromycin,00093-2026-23,Teva Pharmaceuticals USA Inc,24.85,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00093,Penicillin V Potassium,00093-4127-74,Teva Pharmaceuticals USA Inc,9.02,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00093,Glyburide,00093-9433-01,Teva Pharmaceuticals USA Inc,19.62,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00115,Lidocaine and Prilocaine,00115-1468-60,Global Pharmaceuticals; Division of Impax Laborato,11.3,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00169,Prandin,00169-0084-81,Novo Nordisk,625.61,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00169,NovoLog Mix 70/30,00169-3685-12,Novo Nordisk,277.4,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00173,FLOVENT,00173-0602-02,GlaxoSmithKline LLC,176.37,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00173,TREXIMET,00173-0750-49,GlaxoSmithKline LLC,625.5,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00378,NORETHINDRONE ACET,00378-7283-53,Mylan Pharmaceuticals Inc.,6.61,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00378,Tolterodine Tartrate,00378-3402-93,Mylan Pharmaceuticals Inc.,190.33,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00378,Felodipine,00378-5013-01,Mylan Pharmaceuticals Inc.,185.23,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00378,Diltiazem Hydrochloride,00378-0525-01,Mylan Pharmaceuticals Inc.,43.44,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00378,Verapamil Hydrochloride,00378-6380-01,Mylan Pharmaceuticals Inc.,137.1,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00378,Verapamil Hydrochloride,00378-6380-01,Mylan Pharmaceuticals Inc.,137.1,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00472,Betamethasone Valerate,00472-0371-45,Actavis Mid Atlantic LLC,35.64,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00472,Nystatin and Triamcinolon,00472-0150-60,Actavis Mid Atlantic LLC,108.88,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00527,Bethanechol Chloride,00527-1356-01,Lannett Company; Inc.,50.7,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00555,Nortrel,00555-9009-42,Barr Laboratories Inc.,55.5,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00574,Clotrimazole,00574-0107-70,Paddock Laboratories; LLC,68.45,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Verapamil Hydrochloride,00591-2880-01,Actavis Pharma; Inc.,125.8,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Verapamil Hydrochloride,00591-0343-01,Actavis Pharma; Inc.,4.89,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Diclofenac Sodium,00591-0676-01,Actavis Pharma; Inc.,139.24,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Verapamil Hydrochloride,00591-2880-01,Actavis Pharma; Inc.,125.8,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Valsartan and hydrochlorot,00591-2317-19,Actavis Pharma; Inc.,19.44,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Diclofenac sodium,00591-2140-71,Actavis Pharma; Inc.,198.13,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00591,Diclofenac sodium,00591-2140-71,Actavis Pharma; Inc.,198.13,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00603,Promethazine VC,00603-1587-58,Qualitest Pharmaceuticals,111.42,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00603,Promethazine VC,00603-1587-58,Qualitest Pharmaceuticals,111.42,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
